Nombre de la cuenta,Naturaleza ampliada,Libros contables relevantes,Descripción
Material de empaque consumido fábrica,Gasto/deudor,Costo de Producción,Material de empaque consumido fábrica
Papelería y útiles existencia,Activo/deudor,Balance General,Representa un activo. Papelería y útiles existencia
Proveeduría (existencia),Activo/deudor,Costo de Producción,Representa un activo. Proveeduría (existencia)
Repuestos y accesorios existencia,Activo/deudor,Costo de Producción,Representa un activo. Repuestos y accesorios existencia
Repuestos y accesorios consumidos fábrica,Gasto/deudor,Costo de Producción,Repuestos y accesorios consumidos fábrica
Seguros vencidos fábrica,Gasto/deudor,Costo de Producción,Seguros vencidos fábrica
Seguros vencidos de oficina,Gasto/deudor,Estado de Resultados,Seguros vencidos de oficina
Seguros vencidos de sala de ventas,Gasto/deudor,Estado de Resultados,Seguros vencidos de sala de ventas
Suministros existencia,Activo/deudor,Balance General,Representa un activo. Suministros existencia
Suministros consumidos de fábrica,Gasto/deudor,Costo de Producción,Suministros consumidos de fábrica
Suscriptores de acciones,Patrimonio/acreedor,Balance General,Suscriptores de acciones
Útiles y enseres existencia,Activo/deudor,Balance General,Representa un activo. Útiles y enseres existencia
Caja,Activo/deudor,Balance General,Representa un activo. Caja
Ventas,Ingreso/acreedor,Estado de Resultados,Ventas
Costo de ventas,Gasto/deudor,Estado de Resultados,Costo de ventas
Sueldos y salarios,Gasto/deudor,Estado de Resultados,Sueldos y salarios
Gastos de administración,Gasto/deudor,Estado de Resultados,Gastos de administración
Gastos de venta,Gasto/deudor,Estado de Resultados,Gastos de venta
Impuestos por pagar,Pasivo/acreedor,Balance General,Impuestos por pagar
Amortización acumulada,Contra activo,Balance General,Amortización acumulada
Depreciación acumulada,Contra activo,Balance General,Depreciación acumulada
Intereses por pagar,Pasivo/acreedor,Balance General,Intereses por pagar
Cuentas por cobrar,Activo/deudor,Balance General,Representa un activo. Cuentas por cobrar
Mobiliario y equipo fábrica,Activo/Deudor,Balance General,Mobiliario y equipo fábrica
Depreciación mobiliario y equipo de sala de ventas,Gasto/Deudor,Estado de Resultados,Depreciación mobiliario y equipo de sala de ventas
Financiamiento antes del impuesto,Gasto/Deudor,Estado de Resultados,Financiamiento antes del impuesto
Financiamiento después del impuesto,Gasto/Deudor,Estado de Resultados,Financiamiento después del impuesto
Ganancia antes del impuesto antes de reserva,Ingreso/Acreedor,Estado de Resultados,Ganancia antes del impuesto antes de reserva
Depreciación de activos,Gasto/Deudor,Estado de Resultados,Depreciación de activos
Baja de capital,Pérdida/Deudor,Balance General,Baja de capital
IUSI por pagar,Pasivo/Acreedor,Balance General,IUSI por pagar
Suministros consumidos sala de ventas,Gasto/Deudor,Estado de Resultados,Suministros consumidos sala de ventas
Acciones adquiridas,Activo/deudor,No disponible,Representa un activo. 1 Acciones adquiridas
Acciones no suscritas,Activo/deudor,No disponible,Representa un activo. 2 Acciones no suscritas
Acciones por suscribir,No disponible,No disponible,3 Acciones por suscribir
Acciones suscritas,Activo/deudor,No disponible,Representa un activo. 4 Acciones suscritas
Acreedores,Activo/deudor,No disponible,Representa un activo. 5 Acreedores
Acreedores hipotecarios.,Activo/deudor,No disponible,Representa un activo. 6 Acreedores hipotecarios.
Acreedores a largo plazo,Activo/deudor,No disponible,Representa un activo. 7 Acreedores a largo plazo
Acreedores por prendas en garantia,No disponible,No disponible,8. Acreedores por prendas en garantia
Acreedores comerciales,Activo/deudor,No disponible,Representa un activo. 9 Acreedores comerciales
Acreedores no Comerciales,Activo/deudor,No disponible,Representa un activo. 10 Acreedores no Comerciales
Alquileres cobrados por anticipado,Activo/deudor,Balance General,Representa un activo. Alquileres cobrados por anticipado
Alquileres percibidos no devengados,Activo/deudor,Balance General,Representa un activo. Alquileres percibidos no devengados
Alquileres pagados por anticipado,Activo/deudor,Balance General,Representa un activo. Alquileres pagados por anticipado
Bancos,Activo/deudor,Balance General,Representa un activo. Bancos
Acciones adquiridas,Activo/deudor,Balance General,Representa un activo. Acciones adquiridas
Acciones no suscritas,Activo/deudor,Balance General,Representa un activo. Acciones no suscritas
Acciones por suscribir,Activo/deudor,Balance General,Representa un activo. Acciones por suscribir
Acciones suscritas,Activo/deudor,Balance General,Representa un activo. Acciones suscritas
Acreedores,Pasivo/acreedor,Balance General,Acreedores
Acreedores hipotecarios,Pasivo a Largo Plazo/acreedor,Balance General,Acreedores hipotecarios
Acreedores a largo plazo,Pasivo a Largo Plazo/acreedor,Balance General,Acreedores a largo plazo
Acreedores por prendas en garantía,Pasivo/acreedor,Balance General,Acreedores por prendas en garantía
Acreedores comerciales,Pasivo/acreedor,Balance General,Acreedores comerciales
Acreedores no comerciales,Pasivo/acreedor,Balance General,Acreedores no comerciales
Aguinaldos,Gasto/deudor,Estado de Resultados,Aguinaldos
Aguinaldos sala de ventas,Gasto/deudor,Estado de Resultados,Aguinaldos sala de ventas
Aguinaldos de fábrica,Gasto/deudor,Costo de Producción,Aguinaldos de fábrica
Almacén de envases,Activo/deudor,Balance General,Representa un activo. Almacén de envases
Alquileres cobrados,Ingreso/acreedor,Estado de Resultados,Alquileres cobrados
Alquileres ganados,Ingreso/acreedor,Estado de Resultados,Alquileres ganados
Alquileres percibidos,Ingreso/acreedor,Estado de Resultados,Alquileres percibidos
Alquileres producto,Ingreso/acreedor,Estado de Resultados,Alquileres producto
Alquileres devengados,Ingreso/acreedor,Estado de Resultados,Alquileres devengados
Alquileres,Gasto/deudor,Estado de Resultados,Alquileres
Alquileres de oficina,Gasto/deudor,Estado de Resultados,Alquileres de oficina
Alquileres de sala de ventas,Gasto/deudor,Estado de Resultados,Alquileres de sala de ventas
Alquileres de fábrica,Gasto/deudor,Costo de Producción,Alquileres de fábrica
Alquileres por pagar,Pasivo/acreedor,Balance General,Alquileres por pagar
Amortizaciones de oficina,Gasto/deudor,Estado de Resultados,Amortizaciones de oficina
Amortizaciones de sala de ventas,Gasto/deudor,Estado de Resultados,Amortizaciones de sala de ventas
Amortizaciones de fábrica,Gasto/deudor,Costo de Producción,Amortizaciones de fábrica
Amortización crédito mercantil,Activo Amortizable/deudor,Balance General,Amortización crédito mercantil
Amortización derecho de llave,Activo Amortizable/deudor,Balance General,Amortización derecho de llave
Amortización gastos de constitución,Activo Amortizable/deudor,Balance General,Amortización gastos de constitución
Amortización gastos de instalación fábrica,Activo Amortizable/deudor,Costo de Producción,Amortización gastos de instalación fábrica
Amortización gastos de instalación sala de ventas,Activo Amortizable/deudor,Estado de Resultados,Amortización gastos de instalación sala de ventas
Amortización gastos de instalación administración,Activo Amortizable/deudor,Estado de Resultados,Amortización gastos de instalación administración
Amortización gastos de instalación oficina,Activo Amortizable/deudor,Estado de Resultados,Amortización gastos de instalación oficina
Amortización gastos de organización,Activo Amortizable/deudor,Balance General,Amortización gastos de organización
Amortización marcas y patentes,Activo Amortizable/deudor,Balance General,Amortización marcas y patentes
Amortización de patentes,Activo Amortizable/deudor,Balance General,Amortización de patentes
Amortización renombre comercial,Activo Amortizable/deudor,Balance General,Amortización renombre comercial
Anticipo de clientes,Pasivo/acreedor,Balance General,Anticipo de clientes
Anticipo sobre ventas,Pasivo/acreedor,Balance General,Anticipo sobre ventas
Activos inservibles,Pérdida/deudor,Estado de Resultados,Activos inservibles
Anticipo a proveedores,Activo/deudor,Balance General,Representa un activo. Anticipo a proveedores
Anticipo sobre compras,Activo/deudor,Balance General,Representa un activo. Anticipo sobre compras
Anticipo sobre sueldos,Activo/deudor,Balance General,Representa un activo. Anticipo sobre sueldos
Artículos en proceso,Activo/deudor,Costo de Producción,Representa un activo. Artículos en proceso
Artículos terminados,Activo/deudor,Balance General,Representa un activo. Artículos terminados
Artículos enviados en consignación,Activo/deudor,Balance General,Representa un activo. Artículos enviados en consignación
Artículos recibidos en consignación,Pasivo/acreedor,Balance General,Artículos recibidos en consignación
Bonificación incentivo administración,Gasto/deudor,Estado de Resultados,Bonificación incentivo administración
Bonificación incentivo sala de ventas,Gasto/deudor,Estado de Resultados,Bonificación incentivo sala de ventas
Bonificación incentivo de fábrica,Gasto/deudor,Costo de Producción,Bonificación incentivo de fábrica
Bonos comprados,Activo/deudor,Balance General,Representa un activo. Bonos comprados
Bonos emitidos,Pasivo/acreedor,Balance General,Bonos emitidos
Bono 14 de fábrica,Gasto/deudor,Costo de Producción,Bono 14 de fábrica
Bono 14 de sala de ventas,Gasto/deudor,Estado de Resultados,Bono 14 de sala de ventas
Bono 14 de administración,Gasto/deudor,Estado de Resultados,Bono 14 de administración
Caja chica,Activo/deudor,Balance General,Representa un activo. Caja chica
Caja y bancos,Activo/deudor,Balance General,Representa un activo. Caja y bancos
Capital social,Patrimonio/acreedor,Balance General,Capital social
Clientes,Activo/deudor,Balance General,Representa un activo. Clientes
Combustibles y lubricantes (existencia),Activo/deudor,Balance General,Representa un activo. Combustibles y lubricantes (existencia)
Comisiones cobradas por anticipado,Activo/deudor,Balance General,Representa un activo. Comisiones cobradas por anticipado
Comisiones percibidas no devengadas,Activo/deudor,Balance General,Representa un activo. Comisiones percibidas no devengadas
Comisiones pagadas por anticipado,Activo/deudor,Balance General,Representa un activo. Comisiones pagadas por anticipado
Comisiones gasto,Gasto/deudor,Estado de Resultados,Comisiones gasto
Comisiones,Activo/deudor,Balance General,Representa un activo. Comisiones
Comisiones percibidas,Ingreso/acreedor,Estado de Resultados,Comisiones percibidas
Comisiones por cobrar,Activo/deudor,Balance General,Representa un activo. Comisiones por cobrar
Comisiones ganadas,Ingreso/acreedor,Estado de Resultados,Comisiones ganadas
Comisiones por pagar,Pasivo/acreedor,Balance General,Comisiones por pagar
Comisiones sobre ventas,Gasto/deudor,Estado de Resultados,Comisiones sobre ventas
Crédito fiscal,Activo/deudor,Balance General,Representa un activo. Crédito fiscal
Compras de materia prima,Activo/deudor,Balance General/Costo de Producción,Representa un activo. Compras de materia prima
Construcciones,Activo/deudor,Balance General,Representa un activo. Construcciones
Corresponsales (deudor),Activo/deudor,Balance General,Representa un activo. Corresponsales (deudor)
Corresponsales (acreedor),Pasivo/acreedor,Balance General,Corresponsales (acreedor)
Correo teléfono y telégrafo,Gasto/deudor,Estado de Resultados,Correo teléfono y telégrafo
Cuentas malas,Pérdida/deudor,Estado de Resultados,Cuentas malas
Cuentas por pagar,Pasivo/acreedor,Balance General,Cuentas por pagar
Cuentas por pagar comerciales,Pasivo/acreedor,Balance General,Cuentas por pagar comerciales
Cuentas por pagar no comerciales,Pasivo/acreedor,Balance General,Cuentas por pagar no comerciales
Cuotas laborales,Gasto/deudor,Estado de Resultados,Cuotas laborales
Cuotas laborales por pagar,Pasivo/acreedor,Balance General,Cuotas laborales por pagar
Cuotas patronales fábrica,Gasto/deudor,Costo de Producción,Cuotas patronales fábrica
Cuotas patronales administración,Gasto/deudor,Estado de Resultados,Cuotas patronales administración
Cuotas patronales sala de ventas,Gasto/deudor,Estado de Resultados,Cuotas patronales sala de ventas
Cuotas patronales por pagar,Pasivo/acreedor,Balance General,Cuotas patronales por pagar
Cuenta promesa,Activo/Pasivo,Balance General,Cuenta promesa
Débito fiscal,Activo/deudor,Balance General,Representa un activo. Débito fiscal
Depósitos en garantía,Activo/deudor,Balance General,Representa un activo. Depósitos en garantía
Depreciación fábrica,Gasto/deudor,Costo de Producción,Depreciación fábrica
Depreciación administración,Gasto/deudor,Estado de Resultados,Depreciación administración
Depreciación sala de ventas,Gasto/deudor,Estado de Resultados,Depreciación sala de ventas
Depreciación construcción fábrica,Gasto/deudor,Costo de Producción,Depreciación construcción fábrica
Depreciación construcción de oficina,Gasto/deudor,Estado de Resultados,Depreciación construcción de oficina
Depreciación construcción de sala de ventas,Gasto/deudor,Estado de Resultados,Depreciación construcción de sala de ventas
Depreciación edificios fábrica,Gasto/deudor,Costo de Producción,Depreciación edificios fábrica
Depreciación edificios de oficina,Gasto/deudor,Estado de Resultados,Depreciación edificios de oficina
Depreciación edificios de sala de ventas,Gasto/deudor,Estado de Resultados,Depreciación edificios de sala de ventas
Depreciación inmuebles de fábrica,Gasto/deudor,Costo de Producción,Depreciación inmuebles de fábrica
Depreciación inmuebles de oficina,Gasto/deudor,Estado de Resultados,Depreciación inmuebles de oficina
Depreciación inmuebles de sala de ventas,Gasto/deudor,Estado de Resultados,Depreciación inmuebles de sala de ventas
Depreciación herramientas de oficina,Gasto/deudor,Estado de Resultados,Depreciación herramientas de oficina
Depreciación herramientas fábrica,Gasto/deudor,Costo de Producción,Depreciación herramientas fábrica
Depreciación herramientas sala de ventas,Gasto/deudor,Estado de Resultados,Depreciación herramientas sala de ventas
Depreciación equipo de computación,Gasto/deudor,Estado de Resultados,Depreciación equipo de computación
Depreciación equipo de computación fábrica,Gasto/deudor,Costo de Producción,Depreciación equipo de computación fábrica
Depreciación sistemas informáticos,Gasto/deudor,Estado de Resultados,Depreciación sistemas informáticos
Depreciación vehículos de reparto,Gasto/deudor,Estado de Resultados,Depreciación vehículos de reparto
Depreciación vehículos de fábrica,Gasto/deudor,Costo de Producción,Depreciación vehículos de fábrica
Depreciación vehículos de oficina,Gasto/deudor,Estado de Resultados,Depreciación vehículos de oficina
Depreciación vehículos de sala de ventas,Gasto/deudor,Estado de Resultados,Depreciación vehículos de sala de ventas
Derecho de llave,Activo Intangible/deudor,Balance General,Derecho de llave
Descuentos concedidos,Gasto/deudor,Estado de Resultados,Descuentos concedidos
Descuento sobre acciones,Pasivo/acreedor,Balance General,Descuento sobre acciones
Descuento sobre ventas,Gasto/deudor,Estado de Resultados,Descuento sobre ventas
Descuento sobre compras,Ingreso/acreedor,Estado de Resultados,Descuento sobre compras
Descuento sobre compras de materia prima,Ingreso/acreedor,Costo de Producción,Descuento sobre compras de materia prima
Descuentos percibidos,Ingreso/acreedor,Estado de Resultados,Descuentos percibidos
Deudores,Activo/deudor,Balance General,Representa un activo. Deudores
Deudores diversos,Activo/deudor,Balance General,Representa un activo. Deudores diversos
Deudores empleados,Activo/deudor,Balance General,Representa un activo. Deudores empleados
Dividendos percibidos,Ingreso/acreedor,Estado de Resultados,Dividendos percibidos
Dividendos no retirados,Pasivo/acreedor,Balance General,Dividendos no retirados
Dividendos por pagar,Pasivo/acreedor,Balance General,Dividendos por pagar
Dividendos ganados,Ingreso/acreedor,Estado de Resultados,Dividendos ganados
Dividendos por cobrar,Activo/deudor,Balance General,Representa un activo. Dividendos por cobrar
Divisas adquiridas,Activo/deudor,Balance General,Representa un activo. Divisas adquiridas
Documentos endosados,Pasivo/acreedor,Balance General,Documentos endosados
Documentos descontados,Pasivo/acreedor,Balance General,Documentos descontados
Documentos por cobrar descontados,Activo/deudor,Balance General,Representa un activo. Documentos por cobrar descontados
Donativos,Gasto/deudor,Estado de Resultados,Donativos
Donativos pagados,Gasto/deudor,Estado de Resultados,Donativos pagados
Donativos por pagar,Pasivo/acreedor,Balance General,Donativos por pagar
Donativos percibidos,Ingreso/acreedor,Estado de Resultados,Donativos percibidos
Efectos descontados,Pasivo/acreedor,Balance General,Efectos descontados
Efectos endosados,Pasivo/acreedor,Balance General,Efectos endosados
Efectos por cobrar,Activo/deudor,Balance General,Representa un activo. Efectos por cobrar
Energía eléctrica de fábrica,Gasto/deudor,Costo de Producción,Energía eléctrica de fábrica
Energía eléctrica de oficina,Gasto/deudor,Estado de Resultados,Energía eléctrica de oficina
Energía eléctrica de sala de ventas,Gasto/deudor,Estado de Resultados,Energía eléctrica de sala de ventas
Envases en departamento de producción,Activo/deudor,Costo de Producción,Representa un activo. Envases en departamento de producción
Equipo de computación,Activo/deudor,Balance General,Representa un activo. Equipo de computación
Equipo de reparto,Activo/deudor,Balance General,Representa un activo. Equipo de reparto
Especies fiscales,Activo/deudor,Balance General,Representa un activo. Especies fiscales
Existencia en caja,Activo/deudor,Balance General,Representa un activo. Existencia en caja
Fletes sobre compras,Gasto/deudor,Costo de Producción/Estado de Resultados,Fletes sobre compras
Fletes sobre compras de materia prima,Gasto/deudor,Costo de Producción,Fletes sobre compras de materia prima
Fuerza motriz,Gasto/deudor,Estado de Resultados,Fuerza motriz
Fuerza motriz de oficina,Gasto/deudor,Estado de Resultados,Fuerza motriz de oficina
Fuerza motriz de sala de ventas,Gasto/deudor,Estado de Resultados,Fuerza motriz de sala de ventas
Gastos de instalación fábrica,Activo Amortizable/deudor,Costo de Producción,Gastos de instalación fábrica
Gastos diversos fábrica,Gasto/deudor,Costo de Producción,Gastos diversos fábrica
Gastos diversos administración,Gasto/deudor,Estado de Resultados,Gastos diversos administración
Gastos diversos sala de ventas,Gasto/deudor,Estado de Resultados,Gastos diversos sala de ventas
Gastos generales,Gasto/deudor,Estado de Resultados,Gastos generales
Gastos misceláneos fábrica,Gasto/deudor,Costo de Producción,Gastos misceláneos fábrica
Gastos misceláneos administración,Gasto/deudor,Estado de Resultados,Gastos misceláneos administración
Gastos misceláneos sala de ventas,Gasto/deudor,Estado de Resultados,Gastos misceláneos sala de ventas
Gastos publicitarios,Gasto/deudor,Estado de Resultados,Gastos publicitarios
Gastos sobre compras,Gasto/deudor,Costo de Producción/Estado de Resultados,Gastos sobre compras
Gastos sobre compras de materia prima,Gasto/deudor,Costo de Producción,Gastos sobre compras de materia prima
Grasas y aceites consumidos fábrica,Gasto/deudor,Costo de Producción,Grasas y aceites consumidos fábrica
Grasas y aceites consumidos sala de ventas,Gasto/deudor,Estado de Resultados,Grasas y aceites consumidos sala de ventas
Herramientas,Activo/deudor,Balance General,Representa un activo. Herramientas
Hipotecas,Pasivo/acreedor,Balance General,Hipotecas
Hipotecas a corto plazo,Pasivo/acreedor,Balance General,Hipotecas a corto plazo
Hipotecas a largo plazo,Pasivo a Largo Plazo/acreedor,Balance General,Hipotecas a largo plazo
IGSS por pagar,Pasivo/acreedor,Balance General,IGSS por pagar
IGSS laboral,Gasto/deudor,Estado de Resultados,IGSS laboral
Impuestos aduanales sobre compras,Gasto/deudor,Costo de Producción/Estado de Resultados,Impuestos aduanales sobre compras
Impuestos aduanales sobre compras de materia prima,Gasto/deudor,Costo de Producción,Impuestos aduanales sobre compras de materia prima
Impuestos y contribuciones de fábrica,Gasto/deudor,Costo de Producción,Impuestos y contribuciones de fábrica
Impuestos y contribuciones de administración,Gasto/deudor,Estado de Resultados,Impuestos y contribuciones de administración
Impuestos y contribuciones de sala de ventas,Gasto/deudor,Estado de Resultados,Impuestos y contribuciones de sala de ventas
Impuestos y contribuciones por pagar,Pasivo/acreedor,Balance General,Impuestos y contribuciones por pagar
Inmuebles,Activo/deudor,Balance General,Representa un activo. Inmuebles
Intereses gasto,Gasto/deudor,Estado de Resultados,Intereses gasto
Intereses por cobrar,Activo/deudor,Balance General,Representa un activo. Intereses por cobrar
Intereses percibidos,Ingreso/acreedor,Estado de Resultados,Intereses percibidos
Intereses no devengados,Activo/deudor,Balance General,Representa un activo. Intereses no devengados
Intereses pagados por anticipado,Activo/deudor,Balance General,Representa un activo. Intereses pagados por anticipado
Inversiones a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones a corto plazo
Inversiones a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones a largo plazo
Inventarios,Activo/deudor,Balance General,Representa un activo. Inventarios
Inventario de mercaderías,Activo/deudor,Balance General,Representa un activo. Inventario de mercaderías
IVA acreditable,Activo/deudor,Balance General,Representa un activo. IVA acreditable
IVA débito,Pasivo/acreedor,Balance General,IVA débito
IVA por acreditar,Activo/deudor,Balance General,Representa un activo. IVA por acreditar
IVA por cobrar,Activo/deudor,Balance General,Representa un activo. IVA por cobrar
IVA retenido sobre facturas especiales,Pasivo/acreedor,Balance General,IVA retenido sobre facturas especiales
IVA acreedor,Pasivo/acreedor,Balance General,IVA acreedor
Mano de obra directa,Gasto/deudor,Costo de Producción,Mano de obra directa
Marcas y patentes,Activo Intangible/deudor,Balance General,Marcas y patentes
Materia prima,Activo/deudor,Costo de Producción,Representa un activo. Materia prima
Materia prima estropeada,Pérdida/deudor,Costo de Producción/Estado de Resultados,Materia prima estropeada
Materia prima inservible,Pérdida/deudor,Costo de Producción/Estado de Resultados,Materia prima inservible
Materia prima en aduana,Activo/deudor,Costo de Producción,Representa un activo. Materia prima en aduana
Materia prima en tránsito,Activo/deudor,Costo de Producción,Representa un activo. Materia prima en tránsito
Material de empaque consumido,Gasto/deudor,Costo de Producción,Material de empaque consumido
Mercaderías enviadas en consignación,Activo/deudor,Balance General,Representa un activo. Mercaderías enviadas en consignación
Mercaderías recibidas en consignación,Pasivo/acreedor,Balance General,Mercaderías recibidas en consignación
Mercaderías,Activo/deudor,Balance General,Representa un activo. Mercaderías
Mercaderías en aduana,Activo/deudor,Costo de Producción,Representa un activo. Mercaderías en aduana
Mobiliario y equipo,Activo/deudor,Balance General,Representa un activo. Mobiliario y equipo
Mercadería inservible,Pérdida/deudor,Estado de Resultados,Mercadería inservible
Multas y recargos,Gasto/deudor,Estado de Resultados,Multas y recargos
Papelería y útiles consumidos,Gasto/deudor,Estado de Resultados,Papelería y útiles consumidos
Pérdidas acumuladas,Pérdida/deudor,Balance General,Pérdidas acumuladas
Pérdida de capital,Pérdida/deudor,Balance General,Pérdida de capital
Pérdida en negociación de activos,Pérdida/deudor,Estado de Resultados,Pérdida en negociación de activos
Préstamos bancarios,Pasivo/acreedor,Balance General,Préstamos bancarios
Préstamos bancarios a corto plazo,Pasivo/acreedor,Balance General,Préstamos bancarios a corto plazo
Préstamos bancarios a largo plazo,Pasivo a Largo Plazo/acreedor,Balance General,Préstamos bancarios a largo plazo
Primas de seguros,Gasto/deudor,Estado de Resultados,Primas de seguros
Prima sobre acciones,Pasivo/acreedor,Balance General,Prima sobre acciones
Productos percibidos no devengados,Activo/deudor,Balance General,Representa un activo. Productos percibidos no devengados
Productos por cobrar,Activo/deudor,Balance General,Representa un activo. Productos por cobrar
Propaganda,Gasto/deudor,Estado de Resultados,Propaganda
Proveedores,Pasivo/acreedor,Balance General,Proveedores
Publicidad,Gasto/deudor,Estado de Resultados,Publicidad
Propaganda pagada por anticipado,Activo/deudor,Balance General,Representa un activo. Propaganda pagada por anticipado
Publicidad pagada por anticipado,Activo/deudor,Balance General,Representa un activo. Publicidad pagada por anticipado
Recuperación de créditos,Ingreso/acreedor,Estado de Resultados,Recuperación de créditos
Regalías,Gasto/deudor,Estado de Resultados,Regalías
Regalías percibidas,Ingreso/acreedor,Estado de Resultados,Regalías percibidas
Renombre comercial,Activo Intangible/deudor,Balance General,Renombre comercial
Reserva legal,Patrimonio/acreedor,Balance General,Reserva legal
Terrenos,Activo/deudor,Balance General,Representa un activo. Terrenos
Timbre de prensa,Gasto/deudor,Estado de Resultados,Timbre de prensa
Útiles y enseres consumidos,Gasto/deudor,Estado de Resultados,Útiles y enseres consumidos
Valores mobiliarios,Activo/deudor,Balance General,Representa un activo. Valores mobiliarios
Vehículos,Activo/deudor,Balance General,Representa un activo. Vehículos
Ventas por realizar,Activo/deudor,Balance General,Representa un activo. Ventas por realizar
Viáticos,Gasto/deudor,Estado de Resultados,Viáticos
Reservas,Patrimonio/acreedor,Balance General,Reservas
Alquileres devengados,Pasivo/acreedor,Balance General,Alquileres devengados
Alquileres cobrados por anticipado,Activo,Balance General,Alquileres cobrados por anticipado
Alquileres percibidos no devengados,Activo,Balance General,Alquileres percibidos no devengados
Alquileres,Gasto,Estado de Resultados,Alquileres
Alquileres de oficina,Gasto,Estado de Resultados,Alquileres de oficina
Alquileres de sala de ventas,Gasto,Estado de Resultados,Alquileres de sala de ventas
Alquileres de fábrica,Gasto,Estado de Resultados,Alquileres de fábrica
Alquileres pagados por anticipado,Activo,Balance General,Alquileres pagados por anticipado
Alquileres por pagar,Pasivo,Balance General,Alquileres por pagar
Amortizaciones de oficina,Gasto,Estado de Resultados,Amortizaciones de oficina
Amortizaciones de sala de ventas,Gasto,Estado de Resultados,Amortizaciones de sala de ventas
Amortizaciones de fábrica,Gasto,Estado de Resultados,Amortizaciones de fábrica
Amortización crédito mercantil,Activo Amortizable,Balance General,Amortización crédito mercantil
Amortización derecho de llave,Activo Amortizable,Balance General,Amortización derecho de llave
Amortización gastos de constitución,Activo Amortizable,Balance General,Amortización gastos de constitución
Amortización gastos de instalación fábrica,Activo Amortizable,Balance General,Amortización gastos de instalación fábrica
Amortización gastos de instalación sala de ventas,Activo Amortizable,Balance General,Amortización gastos de instalación sala de ventas
Amortización gastos de instalación administración,Activo Amortizable,Balance General,Amortización gastos de instalación administración
Amortización gastos de instalación oficina,Activo Amortizable,Balance General,Amortización gastos de instalación oficina
Amortización gastos de organización,Activo Amortizable,Balance General,Amortización gastos de organización
Amortización marcas y patentes,Activo Amortizable,Balance General,Amortización marcas y patentes
Amortización de patentes,Activo Amortizable,Balance General,Amortización de patentes
Amortización renombre comercial,Activo Amortizable,Balance General,Amortización renombre comercial
Amortización acumulada (cualquier activo intangible),Contra Activo,Balance General,Amortización acumulada (cualquier activo intangible)
Anticipo de clientes,Activo,Balance General,Anticipo de clientes
Anticipo sobre ventas,Activo,Balance General,Anticipo sobre ventas
Activos inservibles,Pérdida,Estado de Resultados,Activos inservibles
Anticipo a proveedores,Activo,Balance General,Anticipo a proveedores
Anticipo sobre compras,Activo,Balance General,Anticipo sobre compras
Anticipo sobre sueldos,Activo,Balance General,Anticipo sobre sueldos
Artículos en proceso,Activo,Costo de Producción,Artículos en proceso
Artículos terminados,Activo,Balance General,Artículos terminados
Artículos enviados en consignación,Activo,Balance General,Artículos enviados en consignación
Artículos recibidos en consignación,Pasivo,Balance General,Artículos recibidos en consignación
Bancos,Activo,Balance General,Bancos
Bonificación incentivo administración,Gasto,Estado de Resultados,Bonificación incentivo administración
Bonificación incentivo sala de ventas,Gasto,Estado de Resultados,Bonificación incentivo sala de ventas
Bonificación incentivo de fábrica,Gasto,Costo de Producción,Bonificación incentivo de fábrica
Bonos comprados,Activo,Balance General,Bonos comprados
Bonos emitidos,Pasivo,Balance General,Bonos emitidos
Bono 14 de fábrica,Gasto,Costo de Producción,Bono 14 de fábrica
Bono 14 de sala de ventas,Gasto,Estado de Resultados,Bono 14 de sala de ventas
Bono 14 de administración,Gasto,Estado de Resultados,Bono 14 de administración
Caja chica,Activo,Balance General,Caja chica
Caja y bancos,Activo,Balance General,Caja y bancos
Capital social,Patrimonio,Balance General,Capital social
Capital autorizado,Patrimonio,Balance General,Capital autorizado
Clientes,Activo,Balance General,Clientes
Combustibles y lubricantes (existencia),Activo,Balance General,Combustibles y lubricantes (existencia)
Combustibles y lubricantes consumidos sala de ventas,Gasto,Estado de Resultados,Combustibles y lubricantes consumidos sala de ventas
Combustibles y lubricantes consumidos fábrica,Gasto,Costo de Producción,Combustibles y lubricantes consumidos fábrica
Combustibles y lubricantes consumidos administración,Gasto/Deudor,Estado de Resultados,Combustibles y lubricantes consumidos administración
Comisiones cobradas por anticipado,Activo/Deudor,Balance General,Comisiones cobradas por anticipado
Comisiones percibidas no devengadas,Pasivo/Acreedor,Balance General,Comisiones percibidas no devengadas
Comisiones pagadas por anticipado,Activo/Deudor,Balance General,Comisiones pagadas por anticipado
Comisiones gasto,Gasto/Deudor,Estado de Resultados,Comisiones gasto
Comisiones,Ingreso/Acreedor,Estado de Resultados,Comisiones
Comisiones percibidas,Ingreso/Acreedor,Estado de Resultados,Comisiones percibidas
Comisiones por cobrar,Activo/Deudor,Balance General,Comisiones por cobrar
Comisiones ganadas,Ingreso/Acreedor,Estado de Resultados,Comisiones ganadas
Comisiones por pagar,Pasivo/Acreedor,Balance General,Comisiones por pagar
Comisiones sobre ventas,Gasto/Deudor,Estado de Resultados,Comisiones sobre ventas
Crédito fiscal,Activo/Deudor,Balance General,Crédito fiscal
Compras de materia prima,Gasto/Deudor,Costo de Producción,Compras de materia prima
Construcciones,Activo/Deudor,Balance General,Construcciones
Corresponsales (deudor),Activo/Deudor,Balance General,Corresponsales (deudor)
